branch,split,stage,metric,value
zscore,train,after,predictive_entropy_p25,1.4580916817646827
zscore,train,after,predictive_entropy_p50,1.5833137929603693
zscore,train,after,predictive_entropy_p75,1.667662314234151
zscore,train,after,n,6412.0
zscore,val,before,accuracy,0.31963788300835655
zscore,val,before,balanced_accuracy,0.31962240365386674
zscore,val,before,macro_f1,0.31396919962637077
zscore,val,before,log_loss,1.8438254987663314
zscore,val,before,brier_multiclass,0.8472215485780283
zscore,val,before,ece_15bin,0.21571676385402144
zscore,val,before,top1_prob_mean,0.535354646862378
zscore,val,before,top1_prob_p25,0.3925644062277252
zscore,val,before,top1_prob_p50,0.4968085113045764
zscore,val,before,top1_prob_p75,0.6581683544442573
zscore,val,before,top1_top2_margin_mean,0.30754171842423433
zscore,val,before,top1_top2_margin_p25,0.09381395028437786
zscore,val,before,top1_top2_margin_p50,0.22749586354403287
zscore,val,before,top1_top2_margin_p75,0.46999628559426293
zscore,val,before,predictive_entropy_mean,1.1688214344106702
zscore,val,before,predictive_entropy_p25,0.9416712406513817
zscore,val,before,predictive_entropy_p50,1.2398562631195325
zscore,val,before,predictive_entropy_p75,1.4606747496237855
zscore,val,before,n,1436.0
zscore,val,after,accuracy,0.31963788300835655
zscore,val,after,balanced_accuracy,0.31962240365386674
zscore,val,after,macro_f1,0.31396919962637077
zscore,val,after,log_loss,1.6040268630521612
zscore,val,after,brier_multiclass,0.7705826497823165
zscore,val,after,ece_15bin,0.029651530959282146
zscore,val,after,top1_prob_mean,0.33342168903615654
zscore,val,after,top1_prob_p25,0.2598046757379776
zscore,val,after,top1_prob_p50,0.3079507957369717
zscore,val,after,top1_prob_p75,0.3826422354872605
zscore,val,after,top1_top2_margin_mean,0.10860703362683123
zscore,val,after,top1_top2_margin_p25,0.028359621703629753
zscore,val,after,top1_top2_margin_p50,0.06884253025215868
zscore,val,after,top1_top2_margin_p75,0.14806854933705357
zscore,val,after,predictive_entropy_mean,1.6040268627639418
zscore,val,after,predictive_entropy_p25,1.5328799351759912
zscore,val,after,predictive_entropy_p50,1.6469717009802074
zscore,val,after,predictive_entropy_p75,1.7177474443007528
zscore,val,after,n,1436.0
zscore,test,before,accuracy,0.2985283812193413
zscore,test,before,balanced_accuracy,0.29855306151874533
zscore,test,before,macro_f1,0.2914298803778043
zscore,test,before,log_loss,1.8708171439193972
zscore,test,before,brier_multiclass,0.8638356836223802
zscore,test,before,ece_15bin,0.22705144876435213
zscore,test,before,top1_prob_mean,0.5255798299836933
zscore,test,before,top1_prob_p25,0.3818122680749895
zscore,test,before,top1_prob_p50,0.487612300075675
zscore,test,before,top1_prob_p75,0.648426018067555
zscore,test,before,top1_top2_margin_mean,0.3009058075335602
zscore,test,before,top1_top2_margin_p25,0.09683875844887858
zscore,test,before,top1_top2_margin_p50,0.2254991725262036
zscore,test,before,top1_top2_margin_p75,0.4608628694918783
zscore,test,before,predictive_entropy_mean,1.1996543328178346
zscore,test,before,predictive_entropy_p25,0.9896989297515453
zscore,test,before,predictive_entropy_p50,1.2718736634684091
zscore,test,before,predictive_entropy_p75,1.4788680829549787
zscore,test,before,n,1427.0
zscore,test,after,accuracy,0.2985283812193413
zscore,test,after,balanced_accuracy,0.29855306151874533
zscore,test,after,macro_f1,0.2914298803778043
zscore,test,after,log_loss,1.6299344824736988
zscore,test,after,brier_multiclass,0.782406861742616
zscore,test,after,ece_15bin,0.03560906853298809
zscore,test,after,top1_prob_mean,0.3249139371452913
zscore,test,after,top1_prob_p25,0.25707070372940877
zscore,test,after,top1_prob_p50,0.30093757622584305
zscore,test,after,top1_prob_p75,0.37298721313481775
zscore,test,after,top1_top2_margin_mean,0.10416908673841957
zscore,test,after,top1_top2_margin_p25,0.02892220232400744
zscore,test,after,top1_top2_margin_p50,0.06704277724938479
zscore,test,after,top1_top2_margin_p75,0.14341287727846597
zscore,test,after,predictive_entropy_mean,1.621304698001338
zscore,test,after,predictive_entropy_p25,1.5543481199612497
zscore,test,after,predictive_entropy_p50,1.6580548973893268
zscore,test,after,predictive_entropy_p75,1.7255559501080788
zscore,test,after,n,1427.0
zscore,—,—,fitted_temperature,2.492160348067795
zscore,—,—,lbfgs_n_iters,7.0
zscore,—,—,final_val_nll,1.6040268630521612
