group,feature,method,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C1_C5_C6,bottom_recovery_slope_acc_z,raw,SA,C5,C6,519,518,0.160176,0.148726,0.148778,0.151413,0.076282,0.969575
C1_C5_C6,bottom_recovery_slope_acc_z,raw,CA,C1,C5,519,514,0.144276,0.131441,0.154301,0.163135,0.080833,0.967761
C1_C5_C6,bottom_recovery_slope_acc_z,raw,CA,C1,C6,519,512,0.144276,0.148376,0.154301,0.156708,-0.026365,0.989482
C1_C5_C6,bottom_recovery_slope_acc_z,raw,CA,C5,C6,514,512,0.131441,0.148376,0.163135,0.156708,-0.105872,0.957783
C1_C5_C6,bottom_recovery_slope_acc_z,raw,HW,C1,C5,518,516,0.054452,0.054324,0.075312,0.078189,0.001663,0.999337
C1_C5_C6,bottom_recovery_slope_acc_z,raw,HW,C1,C6,518,519,0.054452,0.057327,0.075312,0.083088,-0.036266,0.985533
C1_C5_C6,bottom_recovery_slope_acc_z,raw,HW,C5,C6,516,519,0.054324,0.057327,0.078189,0.083088,-0.037227,0.985149
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,all,C1,C5,1553,1549,-0.004962,0.030464,1.056073,1.100460,-0.032847,0.986896
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,all,C1,C6,1553,1549,-0.004962,0.056551,1.056073,1.110469,-0.056766,0.977356
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,all,C5,C6,1549,1549,0.030464,0.056551,1.100460,1.110469,-0.023598,0.990586
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,SA,C1,C5,516,519,-0.074421,0.125954,1.041717,1.071936,-0.189581,0.924481
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,SA,C1,C6,516,518,-0.074421,0.043457,1.041717,1.090920,-0.110518,0.955932
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,SA,C5,C6,519,518,0.125954,0.043457,1.071936,1.090920,0.076282,0.969575
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,CA,C1,C5,519,514,0.087134,-0.005513,1.113817,1.177585,0.080833,0.967761
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,CA,C1,C6,519,512,0.087134,0.116729,1.113817,1.131194,-0.026365,0.989482
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,CA,C5,C6,514,512,-0.005513,0.116729,1.177585,1.131194,-0.105872,0.957783
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,HW,C1,C5,518,516,-0.028045,-0.029745,1.002953,1.041268,0.001663,0.999337
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,HW,C1,C6,518,519,-0.028045,0.010252,1.002953,1.106515,-0.036266,0.985533
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_zscore,HW,C5,C6,516,519,-0.029745,0.010252,1.041268,1.106515,-0.037227,0.985149
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,all,C1,C5,1553,1549,0.126876,0.161126,1.252144,1.303499,-0.026798,0.989309
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,all,C1,C6,1553,1549,0.126876,0.197389,1.252144,1.313603,-0.054949,0.978081
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,all,C5,C6,1549,1549,0.161126,0.197389,1.303499,1.313603,-0.027712,0.988945
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,SA,C1,C5,516,519,-0.021439,0.198762,1.144789,1.177998,-0.189581,0.924481
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,SA,C1,C6,516,518,-0.021439,0.108104,1.144789,1.198860,-0.110518,0.955932
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,SA,C5,C6,519,518,0.198762,0.108104,1.177998,1.198860,0.076282,0.969575
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,CA,C1,C5,519,514,0.165658,0.050233,1.387664,1.467109,0.080833,0.967761
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,CA,C1,C6,519,512,0.165658,0.202530,1.387664,1.409312,-0.026365,0.989482
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,CA,C5,C6,514,512,0.050233,0.202530,1.467109,1.409312,-0.105872,0.957783
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,HW,C1,C5,518,516,0.235762,0.233735,1.196026,1.241717,0.001663,0.999337
C1_C5_C6,bottom_recovery_slope_acc_z,posture_train_robust,HW,C1,C6,518,519,0.235762,0.281431,1.196026,1.319524,-0.036266,0.985533
