group,feature,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C1_C5_C6,lateral_proxy_gyro,all,C1,C6,1553,1549,0.389284,0.415312,0.213105,0.228418,-0.117831,0.953019
C1_C5_C6,lateral_proxy_gyro,all,C5,C6,1549,1549,0.447115,0.415312,0.260625,0.228418,0.129780,0.948262
C1_C5_C6,lateral_proxy_gyro,SA,C1,C5,516,519,0.475208,0.574757,0.217226,0.278048,-0.398999,0.841872
C1_C5_C6,lateral_proxy_gyro,SA,C1,C6,516,518,0.475208,0.485799,0.217226,0.210712,-0.049494,0.980257
C1_C5_C6,lateral_proxy_gyro,SA,C5,C6,519,518,0.574757,0.485799,0.278048,0.210712,0.360608,0.856914
C1_C5_C6,lateral_proxy_gyro,CA,C1,C5,519,514,0.336815,0.388622,0.142290,0.174734,-0.325133,0.870860
C1_C5_C6,lateral_proxy_gyro,CA,C1,C6,519,512,0.336815,0.367306,0.142290,0.154398,-0.205373,0.918212
C1_C5_C6,lateral_proxy_gyro,CA,C5,C6,514,512,0.388622,0.367306,0.174734,0.154398,0.129279,0.948461
C1_C5_C6,lateral_proxy_gyro,HW,C1,C5,518,516,0.356263,0.376997,0.240125,0.266499,-0.081744,0.967398
C1_C5_C6,lateral_proxy_gyro,HW,C1,C6,518,519,0.356263,0.392320,0.240125,0.283068,-0.137373,0.945239
C1_C5_C6,lateral_proxy_gyro,HW,C5,C6,516,519,0.376997,0.392320,0.266499,0.283068,-0.055736,0.977767
C1_C5_C6,anchor_reliability,all,C1,C5,1553,1549,0.822262,0.837499,0.222657,0.207142,-0.070858,0.971737
C1_C5_C6,anchor_reliability,all,C1,C6,1553,1549,0.822262,0.830084,0.222657,0.210657,-0.036088,0.985604
C1_C5_C6,anchor_reliability,all,C5,C6,1549,1549,0.837499,0.830084,0.207142,0.210657,0.035497,0.985840
C1_C5_C6,anchor_reliability,SA,C1,C5,516,519,0.745706,0.805057,0.226297,0.179290,-0.290721,0.884426
C1_C5_C6,anchor_reliability,SA,C1,C6,516,518,0.745706,0.773949,0.226297,0.211932,-0.128824,0.948642
C1_C5_C6,anchor_reliability,SA,C5,C6,519,518,0.805057,0.773949,0.179290,0.211932,0.158482,0.936841
C1_C5_C6,anchor_reliability,CA,C1,C5,519,514,0.757589,0.746035,0.224947,0.232601,0.050496,0.979857
C1_C5_C6,anchor_reliability,CA,C1,C6,519,512,0.757589,0.768349,0.224947,0.209632,-0.049488,0.980259
C1_C5_C6,anchor_reliability,CA,C5,C6,514,512,0.746035,0.768349,0.232601,0.209632,-0.100778,0.959812
C1_C5_C6,anchor_reliability,HW,C1,C5,518,516,0.963320,0.961240,0.130362,0.133707,0.015753,0.993715
C1_C5_C6,anchor_reliability,HW,C1,C6,518,519,0.963320,0.947013,0.130362,0.153902,0.114340,0.954410
C1_C5_C6,anchor_reliability,HW,C5,C6,516,519,0.961240,0.947013,0.133707,0.153902,0.098689,0.960645
C3_C4,depth_proxy,all,C3,C4,1529,1540,5.372490,5.068092,3.844800,3.929442,0.078305,0.968769
C3_C4,depth_proxy,SA,C3,C4,508,519,7.874160,7.692012,0.946243,0.844314,0.203125,0.919104
C3_C4,depth_proxy,CA,C3,C4,515,502,7.866309,7.688766,0.837912,0.956935,0.197403,0.921375
C3_C4,depth_proxy,HW,C3,C4,506,519,0.322758,-0.090662,2.223216,2.019041,0.194680,0.922456
C3_C4,motion_range_acc_z,all,C3,C4,1529,1540,4.372906,4.726985,1.459883,1.511926,-0.238255,0.905174
C3_C4,motion_range_acc_z,SA,C3,C4,508,519,4.453705,4.659784,1.548466,1.283752,-0.144893,0.942246
C3_C4,motion_range_acc_z,CA,C3,C4,515,502,4.617464,5.051526,1.319823,1.346625,-0.325557,0.870693
C3_C4,motion_range_acc_z,HW,C3,C4,506,519,4.042881,4.480275,1.443475,1.792652,-0.268760,0.893102
C3_C4,motion_range_gyro_mag,all,C3,C4,1529,1540,0.758426,0.829504,0.380596,0.428442,-0.175403,0.930114
C3_C4,motion_range_gyro_mag,SA,C3,C4,508,519,0.641532,0.667442,0.262938,0.238342,-0.103254,0.958826
C3_C4,motion_range_gyro_mag,CA,C3,C4,515,502,0.513888,0.545912,0.217769,0.220170,-0.146246,0.941708
C3_C4,motion_range_gyro_mag,HW,C3,C4,506,519,1.124671,1.265869,0.333641,0.382770,-0.393260,0.844117
C3_C4,bottom_stability_acc,all,C3,C4,1529,1540,0.719761,0.750333,0.449496,0.430848,-0.069439,0.972304
C3_C4,bottom_stability_acc,SA,C3,C4,508,519,0.965003,0.957989,0.493137,0.423194,0.015263,0.993911
