class_id,posture_canonical,feature,n,n_nan,mean,std,median,p25,p75
C4,CA,motion_range_gyro_mag,502,0,0.545912,0.220170,0.505036,0.387734,0.651601
C4,CA,bottom_stability_acc,502,0,0.875171,0.387919,0.774403,0.621801,1.036173
C4,CA,bottom_stability_gyro,502,0,0.168001,0.079269,0.154133,0.117593,0.203765
C4,CA,bottom_recovery_slope_acc_z,502,0,0.127215,0.113459,0.119479,0.064143,0.192249
C4,CA,bottom_transition_delta_acc_z,502,0,-0.964814,1.695112,-0.762583,-1.837344,0.231994
C4,CA,lateral_proxy_gyro,502,0,0.488370,0.213012,0.440286,0.339583,0.588869
C4,CA,anchor_reliability,502,0,0.797424,0.160193,0.825788,0.716777,0.909757
C4,HW,depth_proxy,519,0,-0.090662,2.019041,-0.065212,-1.479586,1.265444
C4,HW,motion_range_acc_z,519,0,4.480275,1.792652,4.123400,2.923875,5.968750
C4,HW,motion_range_gyro_mag,519,0,1.265869,0.382770,1.198344,1.014846,1.446672
C4,HW,bottom_stability_acc,519,0,0.421927,0.245188,0.347429,0.254187,0.521717
C4,HW,bottom_stability_gyro,519,0,0.111643,0.100718,0.076785,0.044087,0.141110
C4,HW,bottom_recovery_slope_acc_z,519,0,0.057196,0.068002,0.040917,0.008740,0.089283
C4,HW,bottom_transition_delta_acc_z,519,0,-0.019502,0.251335,-0.009822,-0.121933,0.095167
C4,HW,lateral_proxy_gyro,519,0,0.218514,0.198786,0.148857,0.095286,0.257976
C4,HW,anchor_reliability,519,0,0.921965,0.181461,1.000000,1.000000,1.000000
C5,SA,depth_proxy,519,0,7.493333,1.092163,7.497505,6.870949,8.117328
C5,SA,motion_range_acc_z,519,0,5.483043,1.478479,5.245000,4.469500,6.312275
C5,SA,motion_range_gyro_mag,519,0,0.604016,0.271715,0.541479,0.419054,0.725166
C5,SA,bottom_stability_acc,519,0,0.919843,0.412559,0.849716,0.630823,1.128139
C5,SA,bottom_stability_gyro,519,0,0.221298,0.140265,0.186188,0.126890,0.271567
C5,SA,bottom_recovery_slope_acc_z,519,0,0.160176,0.148778,0.151924,0.067548,0.243660
C5,SA,bottom_transition_delta_acc_z,519,0,-1.160568,1.347886,-0.998733,-1.913817,-0.369394
C5,SA,lateral_proxy_gyro,519,0,0.574757,0.278048,0.502667,0.380238,0.704762
C5,SA,anchor_reliability,519,0,0.805057,0.179290,0.856117,0.712230,0.933333
C5,CA,depth_proxy,514,0,7.446154,1.431208,7.296424,6.566101,7.961826
C5,CA,motion_range_acc_z,514,0,6.075695,1.376230,6.026750,5.107600,6.928225
C5,CA,motion_range_gyro_mag,514,0,0.470978,0.220517,0.415677,0.319546,0.572182
C5,CA,bottom_stability_acc,514,0,0.902479,0.400185,0.825529,0.600293,1.117845
C5,CA,bottom_stability_gyro,514,0,0.155715,0.084091,0.135402,0.098978,0.192908
C5,CA,bottom_recovery_slope_acc_z,514,0,0.131441,0.163135,0.137627,0.048463,0.220773
C5,CA,bottom_transition_delta_acc_z,514,0,-0.992934,1.854454,-0.894006,-2.216161,0.402903
C5,CA,lateral_proxy_gyro,514,0,0.388622,0.174734,0.359667,0.265905,0.479369
C5,CA,anchor_reliability,514,0,0.746035,0.232601,0.818593,0.657992,0.910362
C5,HW,depth_proxy,516,0,-0.811678,1.930950,-0.688823,-2.139553,0.591657
C5,HW,motion_range_acc_z,516,0,4.828692,1.444732,4.601500,3.631575,5.650250
C5,HW,motion_range_gyro_mag,516,0,1.100946,0.315995,1.074069,0.855616,1.328296
C5,HW,bottom_stability_acc,516,0,0.606713,0.294061,0.538179,0.404244,0.754459
