split,n,metric,value
test,1427,predictive_entropy_p75,1.0697364807128906
test,1427,predictive_entropy_p95,1.4793617010116578
test,1427,attention_entropy_mean,3.249614715576172
test,1427,attention_entropy_p05,2.422422432899475
test,1427,attention_entropy_p25,2.90441358089447
test,1427,attention_entropy_p50,3.2206649780273438
test,1427,attention_entropy_p75,3.5790892839431763
test,1427,attention_entropy_p95,4.136484527587891
test,1427,amb_c2_recall,0.7238493723849372
test,1427,amb_c1_c5_c6_internal,0.3622377622377622
test,1427,amb_c3_c4_pair,0.2769556025369979
test,1427,amb_c3_to_c2_absorb,0.23949579831932774
test,1427,amb_c4_to_c2_absorb,0.08085106382978724
test,1427,precision_C1,0.6015037593984962
test,1427,recall_C1,0.6751054852320675
test,1427,f1_C1,0.6361829025844931
test,1427,support_C1,237.0
test,1427,precision_C2,0.5805369127516778
test,1427,recall_C2,0.7238493723849372
test,1427,f1_C2,0.6443202979515829
test,1427,support_C2,239.0
test,1427,precision_C3,0.5126903553299492
test,1427,recall_C3,0.42436974789915966
test,1427,f1_C3,0.46436781609195404
test,1427,support_C3,238.0
test,1427,precision_C4,0.5076335877862596
test,1427,recall_C4,0.5659574468085107
test,1427,f1_C4,0.5352112676056338
test,1427,support_C4,235.0
test,1427,precision_C5,0.4088050314465409
test,1427,recall_C5,0.27310924369747897
test,1427,f1_C5,0.327455919395466
test,1427,support_C5,238.0
test,1427,precision_C6,0.49795918367346936
test,1427,recall_C6,0.5083333333333333
test,1427,f1_C6,0.5030927835051546
test,1427,support_C6,240.0
