branch,split,stage,metric,value
zscore,test,after,top1_top2_margin_p25,0.029070573284616548
zscore,test,after,top1_top2_margin_p50,0.06673020822846441
zscore,test,after,top1_top2_margin_p75,0.14457200685874774
zscore,test,after,predictive_entropy_mean,1.6104253646667028
zscore,test,after,predictive_entropy_p25,1.5359575953124727
zscore,test,after,predictive_entropy_p50,1.6547225972706605
zscore,test,after,predictive_entropy_p75,1.724277261310601
zscore,test,after,n,2496.0
zscore,—,—,fitted_temperature,2.795383135886923
zscore,—,—,lbfgs_n_iters,7.0
zscore,—,—,final_val_nll,1.6265862800106958
