condition,split,n,metric,value
zscore,test,1427,ece_15bin,0.22705144876435202
zscore,test,1427,top1_prob_mean,0.5255798299836932
zscore,test,1427,top1_prob_p05,0.2839741540550883
zscore,test,1427,top1_prob_p25,0.38181226807498947
zscore,test,1427,top1_prob_p50,0.48761230007567485
zscore,test,1427,top1_prob_p75,0.6484260180675548
zscore,test,1427,top1_prob_p95,0.8820036669622295
zscore,test,1427,top1_top2_margin_mean,0.3009058075335601
zscore,test,1427,top1_top2_margin_p05,0.019037181829668685
zscore,test,1427,top1_top2_margin_p25,0.09683875844887854
zscore,test,1427,top1_top2_margin_p50,0.22549917252620355
zscore,test,1427,top1_top2_margin_p75,0.4608628694918782
zscore,test,1427,top1_top2_margin_p95,0.8141135345883138
zscore,test,1427,amb_c2_recall,0.5564853556485355
zscore,test,1427,amb_c1_c5_c6_internal,0.42097902097902096
zscore,test,1427,amb_c3_c4_pair,0.23044397463002114
zscore,test,1427,amb_c3_to_c2_absorb,0.25630252100840334
zscore,test,1427,amb_c4_to_c2_absorb,0.1702127659574468
zscore,test,1427,precision_C1,0.28095238095238095
zscore,test,1427,recall_C1,0.2489451476793249
zscore,test,1427,f1_C1,0.2639821029082774
zscore,test,1427,support_C1,237.0
zscore,test,1427,precision_C2,0.34102564102564104
zscore,test,1427,recall_C2,0.5564853556485355
zscore,test,1427,f1_C2,0.42289348171701113
zscore,test,1427,support_C2,239.0
zscore,test,1427,precision_C3,0.3259668508287293
zscore,test,1427,recall_C3,0.24789915966386555
zscore,test,1427,f1_C3,0.28162291169451076
zscore,test,1427,support_C3,238.0
zscore,test,1427,precision_C4,0.36666666666666664
zscore,test,1427,recall_C4,0.3276595744680851
zscore,test,1427,f1_C4,0.34606741573033706
zscore,test,1427,support_C4,235.0
zscore,test,1427,precision_C5,0.29381443298969073
zscore,test,1427,recall_C5,0.23949579831932774
zscore,test,1427,f1_C5,0.2638888888888889
zscore,test,1427,support_C5,238.0
zscore,test,1427,precision_C6,0.16942148760330578
zscore,test,1427,recall_C6,0.17083333333333334
zscore,test,1427,f1_C6,0.17012448132780084
zscore,test,1427,support_C6,240.0
