setting,split,scope,scope_value,metric,value
raw_core_features,test,class,C5,support,238
raw_core_features,test,class,C6,precision,0.144828
raw_core_features,test,class,C6,recall,0.087500
raw_core_features,test,class,C6,f1,0.109091
raw_core_features,test,class,C6,support,240
raw_core_features,test,posture,SA,macro_f1,0.260138
raw_core_features,test,posture,CA,macro_f1,0.202704
raw_core_features,test,posture,HW,macro_f1,0.198713
posture_train_zscore_core_features,train,overall,all,accuracy,0.235340
posture_train_zscore_core_features,train,overall,all,macro_f1,0.214933
posture_train_zscore_core_features,train,overall,all,weighted_f1,0.215284
posture_train_zscore_core_features,train,class,C1,precision,0.246204
posture_train_zscore_core_features,train,class,C1,recall,0.210967
posture_train_zscore_core_features,train,class,C1,f1,0.227227
posture_train_zscore_core_features,train,class,C1,support,1076
posture_train_zscore_core_features,train,class,C2,precision,0.255142
posture_train_zscore_core_features,train,class,C2,recall,0.541822
posture_train_zscore_core_features,train,class,C2,f1,0.346921
posture_train_zscore_core_features,train,class,C2,support,1076
posture_train_zscore_core_features,train,class,C3,precision,0.213645
posture_train_zscore_core_features,train,class,C3,recall,0.113118
posture_train_zscore_core_features,train,class,C3,f1,0.147918
posture_train_zscore_core_features,train,class,C3,support,1052
posture_train_zscore_core_features,train,class,C4,precision,0.184644
posture_train_zscore_core_features,train,class,C4,recall,0.094569
posture_train_zscore_core_features,train,class,C4,f1,0.125077
posture_train_zscore_core_features,train,class,C4,support,1068
posture_train_zscore_core_features,train,class,C5,precision,0.232102
posture_train_zscore_core_features,train,class,C5,recall,0.287850
posture_train_zscore_core_features,train,class,C5,f1,0.256988
posture_train_zscore_core_features,train,class,C5,support,1070
posture_train_zscore_core_features,train,class,C6,precision,0.220930
posture_train_zscore_core_features,train,class,C6,recall,0.159813
posture_train_zscore_core_features,train,class,C6,f1,0.185466
posture_train_zscore_core_features,train,class,C6,support,1070
posture_train_zscore_core_features,train,posture,SA,macro_f1,0.229839
posture_train_zscore_core_features,train,posture,CA,macro_f1,0.221065
posture_train_zscore_core_features,train,posture,HW,macro_f1,0.189334
posture_train_zscore_core_features,val,overall,all,accuracy,0.241643
posture_train_zscore_core_features,val,overall,all,macro_f1,0.210352
posture_train_zscore_core_features,val,overall,all,weighted_f1,0.210679
posture_train_zscore_core_features,val,class,C1,precision,0.230769
posture_train_zscore_core_features,val,class,C1,recall,0.237500
posture_train_zscore_core_features,val,class,C1,f1,0.234086
posture_train_zscore_core_features,val,class,C1,support,240
posture_train_zscore_core_features,val,class,C2,precision,0.286467
posture_train_zscore_core_features,val,class,C2,recall,0.679167
posture_train_zscore_core_features,val,class,C2,f1,0.402967
posture_train_zscore_core_features,val,class,C2,support,240
posture_train_zscore_core_features,val,class,C3,precision,0.150000
posture_train_zscore_core_features,val,class,C3,recall,0.087866
posture_train_zscore_core_features,val,class,C3,f1,0.110818
posture_train_zscore_core_features,val,class,C3,support,239
posture_train_zscore_core_features,val,class,C4,precision,0.125000
posture_train_zscore_core_features,val,class,C4,recall,0.059072
posture_train_zscore_core_features,val,class,C4,f1,0.080229
posture_train_zscore_core_features,val,class,C4,support,237
posture_train_zscore_core_features,val,class,C5,precision,0.239130
posture_train_zscore_core_features,val,class,C5,recall,0.182573
posture_train_zscore_core_features,val,class,C5,f1,0.207059
posture_train_zscore_core_features,val,class,C5,support,241
posture_train_zscore_core_features,val,class,C6,precision,0.260870
posture_train_zscore_core_features,val,class,C6,recall,0.200837
posture_train_zscore_core_features,val,class,C6,f1,0.226950
posture_train_zscore_core_features,val,class,C6,support,239
posture_train_zscore_core_features,val,posture,SA,macro_f1,0.274577
posture_train_zscore_core_features,val,posture,CA,macro_f1,0.223924
posture_train_zscore_core_features,val,posture,HW,macro_f1,0.125044
posture_train_zscore_core_features,test,overall,all,accuracy,0.262789
posture_train_zscore_core_features,test,overall,all,macro_f1,0.228977
posture_train_zscore_core_features,test,overall,all,weighted_f1,0.229096
posture_train_zscore_core_features,test,class,C1,precision,0.249042
posture_train_zscore_core_features,test,class,C1,recall,0.274262
posture_train_zscore_core_features,test,class,C1,f1,0.261044
posture_train_zscore_core_features,test,class,C1,support,237
posture_train_zscore_core_features,test,class,C2,precision,0.300000
posture_train_zscore_core_features,test,class,C2,recall,0.765690
posture_train_zscore_core_features,test,class,C2,f1,0.431095
posture_train_zscore_core_features,test,class,C2,support,239
posture_train_zscore_core_features,test,class,C3,precision,0.135294
posture_train_zscore_core_features,test,class,C3,recall,0.096639
posture_train_zscore_core_features,test,class,C3,f1,0.112745
posture_train_zscore_core_features,test,class,C3,support,238
posture_train_zscore_core_features,test,class,C4,precision,0.222222
posture_train_zscore_core_features,test,class,C4,recall,0.119149
posture_train_zscore_core_features,test,class,C4,f1,0.155125
posture_train_zscore_core_features,test,class,C4,support,235
posture_train_zscore_core_features,test,class,C5,precision,0.425197
posture_train_zscore_core_features,test,class,C5,recall,0.226891
posture_train_zscore_core_features,test,class,C5,f1,0.295890
posture_train_zscore_core_features,test,class,C5,support,238
posture_train_zscore_core_features,test,class,C6,precision,0.165414
posture_train_zscore_core_features,test,class,C6,recall,0.091667
posture_train_zscore_core_features,test,class,C6,f1,0.117962
posture_train_zscore_core_features,test,class,C6,support,240
posture_train_zscore_core_features,test,posture,SA,macro_f1,0.270250
posture_train_zscore_core_features,test,posture,CA,macro_f1,0.207874
posture_train_zscore_core_features,test,posture,HW,macro_f1,0.192890
posture_train_robust_core_features,train,overall,all,accuracy,0.234092
